Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2, rt mayasolovely as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1,3,0,3,0,1, rt mleew17 boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place
2,3,0,3,0,1, rt urkindofbrand dawg rt 80sbaby4life you ever fuck a bitch and she start to cry you be confused as shit
3,3,0,2,1,1, rt cganderson vivabased she look like a tranny
4,6,0,6,0,1, rt shenikaroberts the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
5,3,1,2,0,1,tmadisonx the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514
6,3,0,3,0,1,brighterdays i can not just sit up and hate on another bitch  i got too much shit going on
7,3,0,3,0,1,8220selfiequeenbri cause im tired of you big bitches coming for us skinny girls8221
8,3,0,3,0,1, amp you might not get ya bitch back amp thats that 
9,3,1,2,0,1," rhythmixx hobbies include fighting mariam

bitch"
10,3,0,3,0,1, keeks is a bitch she curves everyone  lol i walked into a conversation like this smh
11,3,0,3,0,1, murda gang bitch its gang land 
12,3,0,2,1,1, so hoes that smoke are losers   yea  go on ig
13,3,0,3,0,1, bad bitches is the only thing that i like 
14,3,1,2,0,1, bitch get up off me 
15,3,0,3,0,1, bitch nigga miss me with it 
16,3,0,3,0,1, bitch plz whatever 
17,3,1,2,0,1, bitch who do you love 
18,3,0,3,0,1, bitches get cut off everyday b 
19,3,0,3,0,1, black bottle amp a bad bitch 
20,3,0,3,0,1, broke bitch cant tell me nothing 
21,3,0,3,0,1, cancel that bitch like nino 
22,3,0,3,0,1, cant you see these hoes wont change 
23,3,0,3,0,1, fuck no that bitch dont even suck dick  128514128514128514 the kermit videos bout to fuck ig up
24,3,0,3,0,1, got ya bitch tip toeing on my hardwood floors  128514 httptcocou2wq5l4q
25,3,0,2,1,1, her pussy lips like heaven doors  128524
26,3,0,3,0,1, hoe what its hitting for 
27,3,0,3,0,1, i met that pussy on ocean dr  i gave that pussy a pill  128524
28,3,0,3,0,1, i need a trippy bitch who fuck on hennessy 
29,3,0,3,0,1, i spend my money how i want bitch its my business 
30,3,0,3,0,1, i txt my old bitch my new bitch pussy wetter 
31,3,0,3,0,1, id say im back to the old me but my old bitches would get excited  128524
32,3,0,3,0,1, if you aint bout that murder game pussy nigga shut up 
33,3,0,3,0,1, if youre toes aint done you pussy stinks 
34,3,0,3,0,1, im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that 
35,3,0,3,0,1, is that ya bitch 
36,3,0,3,0,1, it aint nothing to cut a bitch off 
37,3,0,3,0,1, jus meet son now he ya mane ass bitches  shots
38,3,0,2,1,1, lames crying over hoes thats tears of a clown 
39,3,0,3,0,1, like snoop said in 94 we dont love these hoes 
40,3,0,1,2,2, momma said no pussy cats inside my doghouse 
41,3,0,3,0,1, most hated but the hoes favorite  2mw sevenone  httptcobmdsvmc3rc
42,3,0,3,0,1, nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick httptcobzrdl3kf7u
43,3,0,3,0,1, pimps up pimps up hoes down  future voice
44,3,0,3,0,1, post a picture of that pussy get 200 likes 
45,3,0,3,0,1, pussy is a powerful drug  128517 happyhumpday httptcor8jsymib5b
46,3,0,3,0,1, quick piece of pussy call it a drive by 
47,3,0,3,0,1, running round here like some brand new pussy thats bout to get fucked 
48,3,0,3,0,1, these bitches even worst theyll send them guys for you 
49,3,1,2,0,1, these hoes like niggas that spend money not talk bout it 
50,3,1,2,0,1, we dont trust these niggas all these bitches 
51,3,0,3,0,1, yall niggas b cuffing hoes cause yall aint never have bitches 
52,3,0,3,0,1, you dodge a bullet  128517 8220darealkha all da bitches i cut off pregnant or bound to be thank god 1285918221
53,3,0,3,0,1, young pill chamberlain these bitches love my music 
54,3,0,2,1,1,128514128514128514128514128514128514128514128514128514128514128514vandalsavage teanna trump probably cleaner than most of these twitter hoes but
55,3,0,3,0,1,128514128514128514128514128514128514128514128514128514128514dahomiefuzz gay niggas couldnt wait to act like bitches tonight
56,3,0,3,0,1,128514128514128514theparadox and ima steal his cat n replace it with a pitbull 128514128514128514128514 rt 80sbaby4life theparadox he a bitch you should do it
57,3,0,3,0,1,amp hes gone always be a hoe
58,3,0,3,0,1,"son of a bitch took my tic tacs

i like this movie"
59,3,0,3,0,1,all i wanna do is get money and fuck model bitches  russell simmons
60,3,0,2,1,1,2015seniorprobs i probably wouldn8217t mind school as much if we didn8217t have to deal with bitch ass teachers retweet
61,3,0,3,0,1,a7xdemery im a fucking fag they said
62,3,0,3,0,1,arizzleindacut females think dating a pussy is cute now httptcovxbjg26gsz how does doing this stuff make him a pussy
63,3,0,0,3,2,addicted2guys simplyaddictedtoguys httptco1jl4hi8zmf woof woof hot scally lad
64,3,0,3,0,1,adorebellaaa have ya ever asked your bitch for other bitches  kanye voice yes
65,3,0,3,0,1,adorezoey how u gone bring ur side bitch to a game where you know ya gf friends at  128553128553128553128553 i swear
66,3,0,1,2,2,allaboutmanfeet httptco3gzupfumev woof woof and hot soles
67,3,0,1,2,2,allyhaaaaa lemmie eat a oreo amp do these dishes one oreo lol
68,3,0,3,0,1,almightywayne jetsandaswisher gook bitch fuck u httptcopxmga68nc1 maybe youll get better just httptcotprevwfq0s
69,3,1,2,0,1,almightywayne fuck red malone man bitch ass niggah could you please use complete sentences
70,3,0,0,3,2,arizonasfinest6 why the eggplant emoji doey he say she looked like scream lmao
71,3,0,3,0,1,autoworid hennessey venom gt 128584 httptcoi8egmnkaj9 thats one sexy bitch
72,3,0,3,0,1,bossbytchh him seh me pussy wetter then a shower curtainahmesehwetnessltlmao
73,3,0,3,0,1,brohen314 eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
74,3,1,2,0,1,"bvsedchink yo fuck skateboarding all yall some wood pushing faggots man ball is life httptcovbczp6hmt7
amjemiebenn"
75,3,0,1,2,2,"babyanimalpics baby monkey bathtime httptco7kpwadlf0r
awwwwe this is soooo adorable"
76,3,0,3,0,1,baylaagottabody 128514128514128514128514 i aint shit  damn skippy lol
77,3,1,2,0,1,beeasyjrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gt30chance
78,3,0,3,0,1,beenbasedb kudabrazyy httptcoluubgl9y5u 0 rings 0 mvps 0 bitches lol
79,3,1,2,0,1,beenflynsolo ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn 
80,9,0,7,2,1,bestproadvice the facts on tattoostattoo httptcozwnbhpdz8e hes a pussy with not tattooing them nipples
81,3,0,3,0,1,bill215 128175128175128175 rt nelayden bitches be wanting to act like niggas so bad 128553128553128553 that shit aint cuteeeee but niggas act like bitches
82,3,0,3,0,1,bitchjones92 get worshiping bitch httptcor37cejcjou woof woof
83,3,1,2,0,1,blackchiquitita wow rt thatmanpalmer im lost are those buttcheek piercings httptcoyn6guyouq6 yeah shes a hoe
84,3,0,3,0,1,blacknerdjade ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her
85,3,2,1,0,0,blackman38tide whalelookyhere howdydowdy11 queer gaywad
87,3,0,3,0,1,brokenpiecesmsc itsnotadam faggot read my tweets after dat k it wasnt even funny lol
88,3,0,3,0,1,brosconfessions this bitch was so ungrateful httptco06e77bgwbx fr  lulwhore
89,3,0,3,0,1,cashandboobies i been kidnapped yo bitch
90,3,3,0,0,0,cbbaby24 whitethunduh alsarabsss hes a beaner smh you can tell hes a mexican
91,3,1,2,0,1,ccobey aydanmccoy happy birthday nigs thanks yo
92,6,1,5,0,1,chlldhoodruiner when ur teacher tells u that u have homework httpstcorkk5vawij1 this bitch need to go
93,3,1,2,0,1,caelang15 22edham caelang15 that nigga was eating that hoe lol hell yea lol john paul nigga said john paul httptcoosipbkpr9h
94,3,0,3,0,1,canifuckornah what would yall lil ugly bald headed bitches do if they stop making makeup amp weave
95,3,1,2,0,1,carelessone92 leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
96,3,0,3,0,1,causewereguys going back to school sucks more dick than the hoes who attend it
97,3,0,3,0,1,causewereguys on my way to fuck yo bitch httptcoj906t5ze2r me as a 9 year old
98,3,0,3,0,1,celeynichole whitethunduh how come you never bring me food i dont have a car retard
99,3,0,3,0,1,chadmfverbeck if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople
100,3,1,2,0,1,chandlerparsons how bout them cowboys shutup pussy
