Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,RT As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1,3,0,3,0,1,RT boy dats coldtyga dwn bad for cuffin dat hoe in the st place
2,3,0,3,0,1,RT Dawg RT You ever fuck a bitch and she start to cry You be confused as shit
3,3,0,2,1,1,RT she look like a tranny
4,6,0,6,0,1,RT The shit you hear about me might be true or it might be faker than the bitch who told it to ya
5,3,1,2,0,1,The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes
6,3,0,3,0,1,I can not just sit up and HATE on another bitch I got too much shit going on
7,3,0,3,0,1,cause Im tired of you big bitches coming for us skinny girls
8,3,0,3,0,1,amp you might not get ya bitch back amp thats that
9,3,1,2,0,1,hobbies include fighting Mariam bitch
10,3,0,3,0,1,Keeks is a bitch she curves everyone lol I walked into a conversation like this Smh
11,3,0,3,0,1,Murda Gang bitch its Gang Land
12,3,0,2,1,1,So hoes that smoke are losers yea go on IG
13,3,0,3,0,1,bad bitches is the only thing that i like
14,3,1,2,0,1,bitch get up off me
15,3,0,3,0,1,bitch nigga miss me with it
16,3,0,3,0,1,bitch plz whatever
17,3,1,2,0,1,bitch who do you love
18,3,0,3,0,1,bitches get cut off everyday B
19,3,0,3,0,1,black bottle amp a bad bitch
20,3,0,3,0,1,broke bitch cant tell me nothing
21,3,0,3,0,1,cancel that bitch like Nino
22,3,0,3,0,1,cant you see these hoes wont change
23,3,0,3,0,1,fuck no that bitch dont even suck dick the Kermit videos bout to fuck IG up
24,3,0,3,0,1,got ya bitch tip toeing on my hardwood floors
25,3,0,2,1,1,her pussy lips like Heaven doors
26,3,0,3,0,1,hoe what its hitting for
27,3,0,3,0,1,i met that pussy on Ocean Dr i gave that pussy a pill
28,3,0,3,0,1,i need a trippy bitch who fuck on Hennessy
29,3,0,3,0,1,i spend my money how i want bitch its my business
30,3,0,3,0,1,i txt my old bitch my new bitch pussy wetter
31,3,0,3,0,1,id say im back to the old me but my old bitches would get excited
32,3,0,3,0,1,if you aint bout that Murder Game pussy nigga shut up
33,3,0,3,0,1,if youre toes aint done you pussy stinks
34,3,0,3,0,1,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
35,3,0,3,0,1,is that ya bitch
36,3,0,3,0,1,it aint nothing to cut a bitch off
37,3,0,3,0,1,jus meet son now he ya mane ass bitches Shots
38,3,0,2,1,1,lames crying over hoes thats tears of a clown
39,3,0,3,0,1,like Snoop said in we dont love these hoes
40,3,0,1,2,2,momma said no pussy cats inside my doghouse
41,3,0,3,0,1,most hated but the hoes favorite MW SevenOne
42,3,0,3,0,1,nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick
43,3,0,3,0,1,pimps up pimps up hoes down Future voice
44,3,0,3,0,1,post a picture of that pussy get likes
45,3,0,3,0,1,pussy is a powerful drug HappyHumpDay
46,3,0,3,0,1,quick piece of pussy call it a drive by
47,3,0,3,0,1,running round here like some brand new pussy thats bout to get fucked
48,3,0,3,0,1,these bitches even worst theyll send them guys for you
49,3,1,2,0,1,these hoes like niggas that spend money not talk bout it
50,3,1,2,0,1,we dont trust these niggas all these bitches
51,3,0,3,0,1,yall niggas b cuffing hoes cause yall aint never have bitches
52,3,0,3,0,1,you dodge a bullet All da bitches I cut off pregnant or bound to be thank God
53,3,0,3,0,1,young Pill Chamberlain these bitches love my music
54,3,0,2,1,1,Teanna Trump probably cleaner than most of these twitter hoes but
55,3,0,3,0,1,Gay niggas couldnt wait to act like bitches tonight
56,3,0,3,0,1,And ima steal his cat n replace it with a pitbull RT He a bitch you should do it
57,3,0,3,0,1,amp hes gone always be a hoe
