Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,retweet woman complain cleaning house amp man always take trash
1,3,0,3,0,1,retweet boy dats coldtyga dwn bad cuffin hoe 1st place
2,3,0,3,0,1,retweet dawg retweet ever fuck bitch start cry confused shit
3,3,0,2,1,1,retweet look like tranny
4,6,0,6,0,1,retweet shit hear might true might faker bitch told ya
5,3,1,2,0,1,shit blows meclaim faithful somebody still fucking hoes
6,3,0,3,0,1,sit hate another bitch got much shit going
7,3,0,3,0,1,tired big bitches coming us skinny girls
8,3,0,3,0,1,amp might get ya bitch back amp
9,3,1,2,0,1,hobbies include fighting mariam bitch
10,3,0,3,0,1,keeks bitch curves everyone lol walked conversation like smh
11,3,0,3,0,1,murda gang bitch gang land
12,3,0,2,1,1,hoes smoke losers yea go ig
13,3,0,3,0,1,bad bitches thing like
14,3,1,2,0,1,bitch get
15,3,0,3,0,1,bitch nigga miss
16,3,0,3,0,1,bitch plz whatever
17,3,1,2,0,1,bitch love
18,3,0,3,0,1,bitches get cut everyday b
19,3,0,3,0,1,black bottle amp bad bitch
20,3,0,3,0,1,broke bitch cannot tell nothing
21,3,0,3,0,1,cancel bitch like nino
22,3,0,3,0,1,cannot see hoes change
23,3,0,3,0,1,fuck bitch even suck dick kermit videos bout fuck ig
24,3,0,3,0,1,got ya bitch tip toeing hardwood floors
25,3,0,2,1,1,pussy lips like heaven doors
26,3,0,3,0,1,hoe hitting
27,3,0,3,0,1,met pussy ocean dr gave pussy pill
28,3,0,3,0,1,need trippy bitch fuck hennessy
29,3,0,3,0,1,spend money want bitch business
30,3,0,3,0,1,txt old bitch new bitch pussy wetter
31,3,0,3,0,1,would say back old old bitches would get excited
32,3,0,3,0,1,bout murder game pussy nigga shut
33,3,0,3,0,1,toes done pussy stinks
34,3,0,3,0,1,done bitter bitches wrap angry bird app
35,3,0,3,0,1,ya bitch
36,3,0,3,0,1,nothing cut bitch
37,3,0,3,0,1,jus meet son ya mane ass bitches
38,3,0,2,1,1,lames crying hoes tears clown
39,3,0,3,0,1,like snoop said love hoes
40,3,0,1,2,2,momma said pussy cats inside doghouse
41,3,0,3,0,1,hated hoes favorite
42,3,0,3,0,1,nice girls bad make get naughty bad yello hoe real nice body south chick like real thick
43,3,0,3,0,1,pimps pimps hoes future voice
44,3,0,3,0,1,post picture pussy get likes
45,3,0,3,0,1,pussy powerful drug
46,3,0,3,0,1,quick piece pussy call drive
47,3,0,3,0,1,running round like brand new pussy bout get fucked
48,3,0,3,0,1,bitches even worst send guys
49,3,1,2,0,1,hoes like niggas spend money talk bout
50,3,1,2,0,1,trust niggas bitches
51,3,0,3,0,1,niggas b cuffing hoes never bitches
52,3,0,3,0,1,dodge bullet da bitches cut pregnant bound thank god
53,3,0,3,0,1,young pill chamberlain bitches love music
54,3,0,2,1,1,teanna trump probably cleaner twitter hoes
55,3,0,3,0,1,gay niggas could wait act like bitches tonight
56,3,0,3,0,1,steal cat n replace pitbull retweet bitch
57,3,0,3,0,1,amp gone always hoe
58,3,0,3,0,1,son bitch took tic tacs like movie
59,3,0,3,0,1,want get money fuck model bitches russell simmons
60,3,0,2,1,1,probably wouldnt mind school much didnt deal bitch ass teachers retweet
61,3,0,3,0,1,fucking fag said
62,3,0,3,0,1,females think dating pussy cute stuff make pussy
63,3,0,0,3,2,simplyaddictedtoguys woof woof hot scally lad
64,3,0,3,0,1,ya ever asked bitch bitches kanye voice yes
65,3,0,3,0,1,gone bring side bitch game know ya gf friends swear
66,3,0,1,2,2,woof woof hot soles
67,3,0,1,2,2,lemmie eat oreo amp dishes one oreo lol
68,3,0,3,0,1,bitch fuck maybe get better
69,3,1,2,0,1,fuck red malone man bitch ass niggah could please use complete sentences
70,3,0,0,3,2,eggplant emoji doey say looked like scream laughing ass
71,3,0,3,0,1,hennessey venom gt one sexy bitch
72,3,0,3,0,1,seh pussy wetter shower curtainltlaughing ass
73,3,0,3,0,1,every need see pic posted bitch said racist shit
74,3,1,2,0,1,yo fuck skateboarding wood pushing faggots man ball life
75,3,0,1,2,2,baby monkey bathtime soooo adorable
76,3,0,3,0,1,shit damn skippy lol
77,3,1,2,0,1,ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance
78,3,0,3,0,1,rings mvps bitches lol
79,3,1,2,0,1,people talk bad ghettohood kid growing nigga funnnnnnn
80,9,0,7,2,1,facts tattoostattoo pussy tattooing nipples
81,3,0,3,0,1,retweet bitches wanting act like niggas bad shit cuteeeee niggas act like bitches
82,3,0,3,0,1,get worshiping bitch woof woof
83,3,1,2,0,1,wow retweet lost buttcheek piercings yeah hoe
84,3,0,3,0,1,ok sis would rather broke bitch shrugs tell works
85,3,2,1,0,0,queer gaywad
87,3,0,3,0,1,faggot read tweets k even funny lol
88,3,0,3,0,1,bitch ungrateful fr lulwhore
89,3,0,3,0,1,kidnapped yo bitch
90,3,3,0,0,0,alsarabsss hes beaner shaking head tell hes mexican
91,3,1,2,0,1,happy birthday nigs thanks yo
92,6,1,5,0,1,teacher tells homework bitch need go
93,3,1,2,0,1,nigga eating hoe lol hell yea lol john paul nigga said john paul
94,3,0,3,0,1,would lil ugly bald headed bitches stop making makeup amp weave
95,3,1,2,0,1,leafs better win damn game go riot shit better start looting nig
96,3,0,3,0,1,going back school sucks dick hoes attend
97,3,0,3,0,1,way fuck yo bitch year old
98,3,0,3,0,1,come never bring food car retard
99,3,0,3,0,1,richnow show tinder hoes friend anymore chill brought like like prople
100,3,1,2,0,1,bout cowboys shutup pussy
101,3,0,3,0,1,lmaooooooooooo nigga ltbitch want likes depressing shitfoh
102,3,0,3,0,1,girl know spitting g shit amp going lbvsbitch plz
103,3,0,3,0,1,let make couple tweets cuzzo page get twitter jaillaughing ass bitch trick
104,3,0,2,1,1,harlem shake excuse go full retard seconds
105,3,0,3,0,1,amen miley need act like hoe emotionally damaged foh
106,3,0,3,0,1,one loyal female wayyyyy better hoes idc
107,3,0,3,0,1,pussy licking pussy meow meow
108,3,0,3,0,1,check 12th man even faggot ny fans stands
109,3,0,3,0,1,happen vixen ent bitches got ran threw side like foothill bitch
110,3,0,3,0,1,bitch okay nudes pat wow
111,3,3,0,0,0,fucking gay blacklisted hoe holding anyway
112,3,0,3,0,1,fuck wrong bitches nobody knows
113,3,0,3,0,1,shut upp make bitch
114,3,1,2,0,1,hate pregnant type bitch
115,3,0,3,0,1,got bitches direct message ever readthem top
116,3,0,0,3,2,baseball season win love started
117,3,0,3,0,1,little stupid bitch fuck yoooooouuuu
118,3,0,3,0,1,really asked dead ass serious though could say bitch wheet laugh loud
119,3,0,0,3,2,early bird night owl wise worms
120,3,0,1,2,2,overdosing heavy drugs sound bad tonight pussy shit every day
121,3,0,0,3,2,pit bulls photographed lovely fairy tale creatures fairy tale creatures
122,3,0,3,0,1,aw fag tweet aw lol
123,3,0,0,3,2,long lakers trash could careless real cc hahaha
124,3,0,3,0,1,say anything though kiss faggot
125,3,0,0,3,2,play soccer cheat girls wear khaki coloured cargos haircut yup
126,3,0,3,0,1,could go fat ass bitch lap
127,3,0,3,0,1,missed calls das yo po bitch twitter fixing screamn
128,6,0,6,0,1,ya side bitch got know rules shitanybody ask cousin jersey thinkin bout moving lmmfao
129,3,0,3,0,1,amo los pies fuck yeah
130,3,0,3,0,1,hoes thinking meat slap ass ainna bruh
131,3,0,3,0,1,bitches wit edges talking
132,3,0,3,0,1,still going trick treating year nahhell yeah da sweet tooth bandit steal bitches bags n shit
133,3,0,3,0,1,want sex mom fuck right pussy came damn got hacked like fuck
134,6,0,6,0,1,kiss eyes open watch bitchlaughing fucking ass
135,3,0,3,0,1,would coulda shoulda ass hoe
136,3,0,3,0,1,happy birthday bitch ass nigga preciate bitch roll
137,3,0,3,0,1,used send bitch
138,6,0,6,0,1,ugly bitches like wcw duh bitch nobody elses
139,3,1,2,0,1,nigga know hacky sack hoes nah throw look passes laughing ass
141,3,1,2,0,1,glad getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin
142,3,0,1,2,2,ghettoit smart idc
143,3,0,2,1,1,would wife hoe would care cheating force relationship first place
144,3,0,3,0,1,single excuse hoe
145,3,1,2,0,1,white boy power bitch black power bitch
146,3,0,3,0,1,let us get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
147,3,0,3,0,1,bitch around world back
148,3,0,3,0,1,get dick sucked yo party bad bitch fr gone set
149,3,0,2,1,1,soooo cute probably hoes lot
150,3,0,3,0,1,every cartoon alway saving hoes laughing ass laughing ass damn captain saveahoe
151,3,0,1,2,2,wants get nose bad bois hot sox legs
152,3,0,3,0,1,wish bitch like brother keezy ooooow bet
153,6,0,6,0,1,dressed cat halloween basic pussy
154,4,0,4,0,1,pornhub get gaming stream feature dumb bitches gtfo get katielt
155,3,0,3,0,1,stop scared choke sex bitch ass niggas shell like says guy hits women bed foh
156,3,0,3,0,1,ha well iguess make hoes loyal bro never loyal hoes nig
157,6,0,6,0,1,oh man molly ho fuck ya seed
158,3,0,3,0,1,man refer every girl bitch
159,3,0,3,0,1,lmfao cat started beating shit nigga finally got pussy nigga
160,3,0,1,2,2,peel peel bring back rewind back move shaq line ooooow tf said trash
161,3,0,2,1,1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
162,3,0,3,0,1,naw old tape new cover upcoming mixtape yeah waiting hoe mayne
163,3,0,3,0,1,old dirty foot ass bitches funny
164,3,0,3,0,1,get yellow flags amazing hell yeah niggy
165,3,0,3,0,1,got time bitches actin iffy
166,3,0,0,3,2,come stay alive knights nation still early bird special
167,3,0,2,1,1,hoes loyal smfh amp wonder nobody decent wants
168,3,0,3,0,1,bruh studs keep thinking soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe
169,3,0,3,0,1,dry pussy bitches always blame condom
170,3,0,3,0,1,shut yo bitch ass
171,3,0,3,0,1,gucci mane jail dropping mixtapes every month hoes cannot even text back
172,3,0,3,0,1,love hoes money wats wrong niggas
