Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,rt mayasolov woman shouldnt complain clean hous amp man alway take trash
1,3,0,3,0,1,rt mleew17 boy dat coldtyga dwn bad cuffin dat hoe 1st place
2,3,0,3,0,1,rt urkindofbrand dawg rt 80sbaby4lif ever fuck bitch start cri confus shit
3,3,0,2,1,1,rt cganderson vivabas look like tranni
4,6,0,6,0,1,rt shenikarobert shit hear might true might faker bitch told ya 57361
5,3,1,2,0,1,tmadisonx shit blow meclaim faith somebodi still fuck hoe 128514128514128514
6,3,0,3,0,1,brighterday sit hate anoth bitch got much shit go
7,3,0,3,0,1,8220selfiequeenbri caus im tire big bitch come u skinni girls8221
8,3,0,3,0,1,amp might get ya bitch back amp that
9,3,1,2,0,1,rhythmixx hobbi includ fight mariam bitch
10,3,0,3,0,1,keek bitch curv everyon lol walk convers like smh
11,3,0,3,0,1,murda gang bitch gang land
12,3,0,2,1,1,hoe smoke loser yea go ig
13,3,0,3,0,1,bad bitch thing like
14,3,1,2,0,1,bitch get
15,3,0,3,0,1,bitch nigga miss
16,3,0,3,0,1,bitch plz whatev
17,3,1,2,0,1,bitch love
18,3,0,3,0,1,bitch get cut everyday b
19,3,0,3,0,1,black bottl amp bad bitch
20,3,0,3,0,1,broke bitch cant tell noth
21,3,0,3,0,1,cancel bitch like nino
22,3,0,3,0,1,cant see hoe wont chang
23,3,0,3,0,1,fuck bitch dont even suck dick 128514128514128514 kermit video bout fuck ig
24,3,0,3,0,1,got ya bitch tip toe hardwood floor 128514 httptcocou2wq5l4q
25,3,0,2,1,1,pussi lip like heaven door 128524
26,3,0,3,0,1,hoe hit
27,3,0,3,0,1,met pussi ocean dr gave pussi pill 128524
28,3,0,3,0,1,need trippi bitch fuck hennessi
29,3,0,3,0,1,spend money want bitch busi
30,3,0,3,0,1,txt old bitch new bitch pussi wetter
31,3,0,3,0,1,id say im back old old bitch would get excit 128524
32,3,0,3,0,1,aint bout murder game pussi nigga shut
33,3,0,3,0,1,your toe aint done pussi stink
34,3,0,3,0,1,im done bitter bitch wrap angri bird there app
35,3,0,3,0,1,ya bitch
36,3,0,3,0,1,aint noth cut bitch
37,3,0,3,0,1,ju meet son ya mane as bitch shot
38,3,0,2,1,1,lame cri hoe that tear clown
39,3,0,3,0,1,like snoop said 94 dont love hoe
40,3,0,1,2,2,momma said pussi cat insid doghous
41,3,0,3,0,1,hate hoe favorit 2mw sevenon httptcobmdsvmc3rc
42,3,0,3,0,1,nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick httptcobzrdl3kf7u
43,3,0,3,0,1,pimp pimp hoe futur voic
44,3,0,3,0,1,post pictur pussi get 200 like
45,3,0,3,0,1,pussi power drug 128517 happyhumpday httptcor8jsymib5b
46,3,0,3,0,1,quick piec pussi call drive
47,3,0,3,0,1,run round like brand new pussi that bout get fuck
48,3,0,3,0,1,bitch even worst theyll send guy
49,3,1,2,0,1,hoe like nigga spend money talk bout
50,3,1,2,0,1,dont trust nigga bitch
51,3,0,3,0,1,yall nigga b cuf hoe caus yall aint never bitch
52,3,0,3,0,1,dodg bullet 128517 8220darealkha da bitch cut pregnant bound thank god 1285918221
53,3,0,3,0,1,young pill chamberlain bitch love music
54,3,0,2,1,1,128514128514128514128514128514128514128514128514128514128514128514vandalsavag teanna trump probabl cleaner twitter hoe
55,3,0,3,0,1,128514128514128514128514128514128514128514128514128514128514dahomiefuzz gay nigga couldnt wait act like bitch tonight
56,3,0,3,0,1,128514128514128514theparadox ima steal cat n replac pitbul 128514128514128514128514 rt 80sbaby4lif theparadox bitch
57,3,0,3,0,1,amp he gone alway hoe
58,3,0,3,0,1,son bitch took tic tac like movi
59,3,0,3,0,1,wan na get money fuck model bitch russel simmon
60,3,0,2,1,1,2015seniorprob probabl wouldn8217t mind school much didn8217t deal bitch as teacher retweet
61,3,0,3,0,1,a7xdemeri im fuck fag said
62,3,0,3,0,1,arizzleindacut femal think date pussi cute httptcovxbjg26gsz stuff make pussi
63,3,0,0,3,2,addicted2guy simplyaddictedtoguy httptco1jl4hi8zmf woof woof hot scalli lad
64,3,0,3,0,1,adorebellaaa ya ever ask bitch bitch kany voic ye
65,3,0,3,0,1,adorezoey u gone bring ur side bitch game know ya gf friend 128553128553128553128553 swear
66,3,0,1,2,2,allaboutmanfeet httptco3gzupfumev woof woof hot sole
67,3,0,1,2,2,allyhaaaaa lemmi eat oreo amp dish one oreo lol
68,3,0,3,0,1,almightywayn jetsandaswish gook bitch fuck u httptcopxmga68nc1 mayb youll get better httptcotprevwfq0
69,3,1,2,0,1,almightywayn fuck red malon man bitch as niggah could plea use complet sentenc
70,3,0,0,3,2,arizonasfinest6 eggplant emoji doey say look like scream lmao
71,3,0,3,0,1,autoworid hennessey venom gt 128584 httptcoi8egmnkaj9 that one sexi bitch
72,3,0,3,0,1,bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao
73,3,0,3,0,1,brohen314 eaglesn everi eagl need see pic post bitch said racist shit
74,3,1,2,0,1,bvsedchink yo fuck skateboard yall wood push faggot man ball life httptcovbczp6hmt7 amjemiebenn
75,3,0,1,2,2,babyanimalp babi monkey bathtim httptco7kpwadlf0r awwww soooo ador
76,3,0,3,0,1,baylaagottabodi 128514128514128514128514 aint shit damn skippi lol
77,3,1,2,0,1,beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno b must b gt30chanc
78,3,0,3,0,1,beenbasedb kudabrazyy httptcoluubgl9y5u 0 ring 0 mvp 0 bitch lol
